MEAL,1500 CALORIE PLAN
Breakfast,Granola (120) Greek Yogurt (120) and Blueberies (40)
Snack,Orange (70)
Total,350 Calories
,
Lunch,Chicken and vegetable soup (300) and Bread (100)
Snack,Apple (75) and Peanut Butter (75)
Total,550 Calories
,
Dinner,Steak (375) Mashed potatoes (150) and Asparagus (75)
Total,600 Calories
