MEAL,2000 CALORIE PLAN
Breakfast,Buttered toast (150) Egg (80) Banana (90) Almonds (170)
Snack,Greek yogurt (120) and Blueberries (40)
Total,650 Calories
,
Lunch,Grilled chicken (225) Grilled vegetables (125) and Pasta (185)
Snack,Hummus (50) Baby carrots (35) and Crackers (65)
Total,685 Calories
,
Dinner,Grilled salmon (225) Brown rice (175) Green beans (100) and Walnuts (165)
Total,665 Calories
